gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
OR12D2;0,68;1,03;0,81;0,45
GJA5;0,02;0,89;0,81;1,11
IL6R;0,00;0,98;0,81;0,69
SH3TC2;0,00;1,15;0,81;-0,71
PRPF18;0,00;0,56;0,81;2,55
PRSS16;0,00;0,89;0,81;1,25
COL9A1;0,00;1,05;0,81;0,19
PARP9;0,00;0,94;0,81;1,01
PIP5K1B;0,00;0,67;0,81;2,48
KCTD17;0,02;0,76;0,81;1,58
CRY1;0,00;0,83;0,81;1,61
KCNQ1;0,00;0,82;0,81;1,83
DAW1;0,00;1,09;0,81;0,16
RAVER2;0,00;0,98;0,81;0,72
ACAD9;0,00;1,12;0,81;-0,18
COPG2;0,01;0,89;0,82;0,98
UBE2D1;0,12;0,48;0,82;2,03
IL12A;0,05;0,94;0,82;0,83
ATP12A;0,00;0,97;0,82;0,83
WDR35;0,00;1,00;0,82;0,60
RBM28;0,00;1,06;0,82;0,18
ALPK2;0,00;1,02;0,82;0,41
FKBP9;0,00;0,91;0,82;1,16
PLCD3;0,00;0,86;0,82;1,59
COX7B;0,67;1,10;0,82;0,42
ST6GALNAC6;0,00;0,81;0,82;1,57
AMN;0,00;1,00;0,82;0,61
ENTPD6;0,00;0,97;0,82;0,77
GPR34;0,26;0,72;0,82;1,71
COLEC11;0,02;1,01;0,82;0,56
RABGGTA;0,00;1,01;0,82;0,53
CTNNAL1;0,00;0,98;0,82;0,69
GRK1;0,00;1,03;0,82;0,43
IGFBP2;0,12;0,72;0,82;1,71
ATAT1;0,00;0,85;0,82;1,38
KATNAL2;0,00;1,03;0,82;0,42
IRGC;0,05;0,91;0,82;1,14
PFDN4;0,48;0,75;0,82;1,21
DBT;0,00;0,93;0,82;0,99
ZNF408;0,00;0,98;0,82;0,71
BDKRB2;0,12;0,93;0,82;0,98
CYP17A1;0,00;0,89;0,82;1,24
PCDHGA10;0,00;0,95;0,82;1,00
RWDD4;0,02;0,97;0,82;0,69
DDX31;0,00;1,07;0,82;0,03
CD63;0,02;0,96;0,82;0,77
VSIG10;0,00;1,00;0,82;0,58
SYPL1;0,05;1,04;0,82;0,45
GREM1;0,47;0,72;0,82;1,55
CAMK1;0,00;1,01;0,82;0,52
VPS16;0,00;0,97;0,82;0,82
FDXR;0,00;0,95;0,82;0,91
ZNF565;0,00;0,85;0,82;1,45
IFT140;0,00;1,13;0,82;-0,81
TXNDC11;0,00;1,24;0,82;-1,28
NEK2;0,00;0,87;0,82;1,30
SPINT1;0,00;1,08;0,82;0,07
CYP21A2;0,00;0,90;0,82;1,15
PLOD3;0,00;1,06;0,82;0,16
GPR179;0,00;0,98;0,82;0,84
C19orf43;0,47;0,56;0,82;1,88
MSX2;0,26;1,03;0,82;0,47
CBWD2;0,01;1,20;0,82;-0,15
AMICA1;0,00;1,05;0,82;0,34
HSD11B2;0,12;0,91;0,82;1,02
TMX1;0,00;1,20;0,82;-0,23
ZBTB32;0,00;0,94;0,82;0,96
ABCG4;0,00;0,75;0,82;2,27
NPR3;0,00;0,96;0,82;0,81
GFOD2;0,05;0,92;0,82;1,01
CERCAM;0,00;1,06;0,82;0,17
TTI1;0,00;1,05;0,82;0,22
FAIM2;0,00;0,77;0,82;1,60
CCDC101;0,00;0,46;0,82;3,06
ENOPH1;0,01;0,69;0,82;1,83
WNT7B;0,00;0,74;0,82;1,99
GABARAP;0,26;0,63;0,82;1,55
PPIP5K2;0,00;0,63;0,82;3,80
TANGO6;0,00;1,02;0,82;0,45
DCAF17;0,00;0,96;0,82;0,82
LCLAT1;0,00;0,93;0,82;0,92
DGKG;0,00;1,06;0,82;0,12
AGFG2;0,00;0,95;0,82;0,89
DSG4;0,00;1,19;0,82;-1,02
ISPD;0,00;1,04;0,82;0,41
ASPH;0,00;1,06;0,82;0,21
ZNF585B;0,00;1,01;0,82;0,50
BEX4;0,67;1,16;0,82;0,24
SLC16A1;0,00;0,81;0,82;1,65
NMD3;0,00;1,07;0,82;0,19
THOC7;0,01;0,85;0,82;1,09
VWA9;0,00;0,91;0,82;1,10
GNPTAB;0,00;0,93;0,82;1,19
TMEM161A;0,00;1,00;0,82;0,57
PCNT;0,00;1,15;0,82;-1,73
RBM12;0,00;0,92;0,82;1,24
TLX3;0,26;0,81;0,82;1,40
DNAJC1;0,00;1,01;0,82;0,51
IFNG;0,47;0,65;0,82;1,61
PLEKHA4;0,00;1,00;0,82;0,61
CHRNA4;0,00;1,04;0,82;0,34
CHRNB2;0,00;0,75;0,82;2,10
RNF150;0,00;0,93;0,82;0,97
H2AFV;0,47;0,41;0,82;2,24
MFSD6;0,00;0,83;0,82;1,77
SLC38A7;0,00;0,93;0,82;1,00
EIF3K;0,00;0,95;0,82;0,76
UBOX5;0,00;0,94;0,82;0,93
AREG;0,47;0,92;0,82;0,81
GALNTL6;0,00;0,75;0,82;2,14
ARVCF;0,00;1,10;0,82;-0,27
RASGEF1C;0,00;0,80;0,82;1,70
GIF;0,00;1,05;0,82;0,36
PGRMC1;0,67;1,18;0,82;0,08
C16orf52;0,26;0,70;0,82;1,43
SELT;0,12;0,87;0,82;1,01
SGCD;0,00;1,10;0,82;0,20
MFHAS1;0,00;1,30;0,82;-1,94
TMED9;0,01;0,91;0,82;0,93
PDE4DIP;0,00;1,18;0,82;-1,40
RAB15;0,01;0,85;0,82;1,16
SLC12A1;0,00;0,93;0,82;1,16
TRAK2;0,00;1,01;0,82;0,49
CD247;0,02;1,28;0,82;-0,31
STRA6;0,00;1,00;0,82;0,60
WDR77;0,00;0,89;0,82;1,08
CEP152;0,00;1,06;0,82;0,03
CYP7A1;0,00;1,19;0,82;-0,46
LIPF;0,00;1,03;0,82;0,42
TMEM256-PLSCR3;0,01;0,95;0,82;0,83
SLC25A33;0,01;0,94;0,83;0,84
CACNG4;0,02;0,75;0,83;1,82
ALDH3A2;0,00;0,98;0,83;0,68
HEATR3;0,00;0,91;0,83;1,14
NOL8;0,00;1,02;0,83;0,44
TFIP11;0,00;0,90;0,83;1,35
ANKRD18B;0,00;1,02;0,83;0,47
FAM133B;0,00;0,91;0,83;0,89
GMNN;0,11;0,88;0,83;0,99
TRNAU1AP;0,00;0,75;0,83;1,67
ETFB;0,02;1,04;0,83;0,42
NCK1;0,00;0,86;0,83;1,27
SDHB;0,00;1,17;0,83;-0,10
PEX16;0,00;1,03;0,83;0,45
KBTBD8;0,00;0,89;0,83;1,25
SLC6A12;0,00;0,84;0,83;1,59
TMC7;0,00;0,90;0,83;1,26
HBG2;0,67;0,71;0,83;1,35
BCL2L2;0,47;0,86;0,83;1,05
CHPT1;0,00;0,95;0,83;0,82
RINT1;0,00;0,97;0,83;0,83
TLDC2;0,02;1,23;0,83;-0,30
GSX2;0,26;1,00;0,83;0,59
LMBR1;0,00;0,95;0,83;0,85
PAICS;0,00;0,88;0,83;1,13
GLTP;0,11;1,02;0,83;0,53
KRT85;0,00;1,03;0,83;0,39
ATP5G3;0,26;0,85;0,83;1,02
EMILIN3;0,00;1,04;0,83;0,28
AP4B1;0,00;1,07;0,83;0,13
POU2F3;0,00;1,05;0,83;0,32
ID2;0,67;1,21;0,83;0,02
RP11-302B13,5;0,26;0,53;0,83;2,31
WNT6;0,02;0,76;0,83;1,73
SRPRB;0,01;1,15;0,83;-0,01
JOSD1;0,04;0,66;0,83;1,81
TPM2;0,00;0,62;0,83;2,13
ATAD3A;0,00;1,08;0,83;0,01
SNX14;0,00;0,83;0,83;1,85
CPT1B;0,00;1,01;0,83;0,49
SLC16A7;0,01;1,06;0,83;0,28
ZNF775;0,00;0,86;0,83;1,49
KIF16B;0,00;0,95;0,83;1,10
PUS7;0,00;0,87;0,83;1,43
LILRB3;0,00;1,27;0,83;-1,01
NECAB3;0,00;0,93;0,83;0,96
AASDH;0,00;1,04;0,83;0,26
DTHD1;0,00;0,94;0,83;0,99
ASIC3;0,00;1,19;0,83;-0,63
C17orf47;0,00;0,97;0,83;0,77
SCN11A;0,00;0,97;0,83;0,96
SRR;0,01;0,94;0,83;0,88
CSRP2BP;0,00;0,97;0,83;0,77
UFSP2;0,00;1,02;0,83;0,48
KNTC1;0,00;0,97;0,83;0,91
C15orf26;0,02;1,05;0,83;0,36
LDLRAD3;0,02;0,98;0,83;0,70
APEH;0,00;0,91;0,83;1,21
CNTROB;0,00;0,99;0,83;0,67
CRB1;0,00;1,20;0,83;-1,28
DNAJB4;0,02;0,86;0,83;1,21
KCNJ15;0,11;0,88;0,83;1,18
BANK1;0,00;1,12;0,83;-0,23
FAM13A;0,00;0,97;0,83;0,80
TUT1;0,00;1,02;0,83;0,42
ANKRD54;0,00;0,92;0,83;0,93
TLX2;0,25;1,02;0,83;0,49
GPR21;0,11;1,04;0,83;0,42
TMEM66;0,00;1,02;0,83;0,49
LRRC39;0,00;1,08;0,83;0,26
ALG8;0,00;1,00;0,83;0,60
CCDC8;0,25;1,13;0,83;-0,16
MPPED1;0,00;0,60;0,83;2,60
C2CD4C;0,47;0,83;0,83;1,43
MSANTD3;0,02;0,82;0,83;1,35
CSNK2B-LY6G5B-1181;0,01;0,38;0,83;2,90
MAN1B1;0,00;1,19;0,83;-0,73
COX11;0,02;0,98;0,83;0,67
PRRG4;0,11;0,80;0,83;1,31
MIEF2;0,02;1,01;0,83;0,51
CLU;0,00;0,96;0,83;0,80
ECEL1;0,00;1,02;0,83;0,48
TMEM117;0,00;0,83;0,83;1,56
GLS2;0,00;0,72;0,83;2,35
KCNK4;0,01;0,97;0,83;0,75
FBXL12;0,04;0,93;0,83;0,92
SERP2;0,67;0,82;0,83;0,92
SHOX2;0,02;1,15;0,83;-0,10
CDR2L;0,00;0,79;0,83;1,73
COL26A1;0,00;1,08;0,83;0,18
LIX1;0,00;1,08;0,83;0,28
HIBADH;0,01;1,11;0,83;0,13
DENND6B;0,00;0,96;0,83;0,86
COPRS;0,25;1,19;0,83;0,02
YPEL5;0,46;0,40;0,83;2,29
RPLP2;0,67;1,56;0,83;-0,83
SPTLC3;0,00;0,90;0,83;1,17
LEP;0,46;0,89;0,83;0,91
C2orf78;0,00;1,03;0,83;0,40
OVCH1-AS1;0,46;0,99;0,83;0,61
SLC35F5;0,00;0,93;0,83;0,98
TAF11;0,11;0,89;0,83;0,99
KIFC2;0,00;1,27;0,83;-1,41
IL4R;0,00;0,98;0,83;0,77
CDKN3;0,00;0,83;0,83;1,19
IL18R1;0,00;0,93;0,83;0,97
GPR65;0,11;0,97;0,83;0,70
TSNARE1;0,00;1,11;0,83;-0,05
SLC1A1;0,00;1,33;0,83;-1,33
SYF2;0,01;1,09;0,83;0,26
ESCO2;0,00;1,03;0,83;0,41
ATP2A1;0,00;0,89;0,83;1,54
RAB23;0,01;1,08;0,83;0,32
ARHGAP24;0,00;1,06;0,83;0,15
GPLD1;0,00;1,12;0,83;-0,30
ERLIN2;0,00;0,71;0,83;1,88
PGAP3;0,00;0,98;0,83;0,69
SPG21;0,00;0,87;0,83;1,16
GPD1;0,01;1,09;0,83;0,17
PSMB6;0,02;0,79;0,83;1,46
DOK5;0,00;0,93;0,83;0,92
FZD9;0,00;0,79;0,83;2,01
INPP5B;0,00;0,93;0,83;1,11
SNRPN;0,04;0,54;0,83;2,43
TMEM63A;0,00;0,91;0,83;1,24
ADAMTS20;0,00;1,12;0,83;-0,69
SLC13A3;0,00;0,87;0,83;1,40
MGAT4C;0,00;0,90;0,83;1,13
AKT1S1;0,11;0,99;0,83;0,64
UQCRC2;0,00;0,93;0,83;0,95
EYS;0,00;1,02;0,83;0,32
NDUFV2;0,01;1,30;0,83;-0,55
TSPAN8;0,01;1,07;0,84;0,35
AARS2;0,00;1,06;0,84;0,07
TTC14;0,00;1,04;0,84;0,30
LAT2;0,00;1,15;0,84;-0,02
BCAM;0,00;1,05;0,84;0,25
IFIT2;0,25;1,01;0,84;0,52
TRAPPC3;0,25;0,82;0,84;1,20
SLC26A8;0,00;0,89;0,84;1,44
TMEM65;0,11;0,75;0,84;1,38
PDLIM2;0,00;1,09;0,84;0,09
SYT5;0,00;0,88;0,84;1,19
MTIF2;0,00;1,14;0,84;-0,30
CIAPIN1;0,00;0,88;0,84;1,12
ARHGAP9;0,00;1,02;0,84;0,41
PCDHGA9;0,00;1,02;0,84;0,42
NLRP1;0,00;0,91;0,84;1,49
RAB12;0,04;0,70;0,84;1,69
POLH;0,00;0,97;0,84;0,82
AC104809,3;0,00;0,98;0,84;0,76
RSRC1;0,00;1,11;0,84;0,09
MAMSTR;0,01;1,00;0,84;0,57
SLC16A6;0,00;0,79;0,84;1,84
PPHLN1;0,00;0,97;0,84;0,76
SNURF;0,46;1,14;0,84;0,30
KDM8;0,00;1,00;0,84;0,61
PNMA1;0,04;1,08;0,84;0,22
GSN;0,00;0,95;0,84;0,96
TATDN2;0,00;1,09;0,84;-0,05
PHKB;0,00;1,04;0,84;0,30
CEP164;0,00;1,03;0,84;0,35
PARP4;0,00;1,05;0,84;0,13
VAT1;0,01;0,84;0,84;1,41
DNAH7;0,00;1,11;0,84;-1,09
HLA-DQB2;0,04;0,86;0,84;1,14
HHAT;0,00;1,10;0,84;0,05
LSM7;0,46;0,63;0,84;1,43
DUSP3;0,46;0,84;0,84;1,13
MLYCD;0,00;1,44;0,84;-1,76
SNX3;0,25;0,63;0,84;1,73
ISYNA1;0,00;0,89;0,84;1,27
PDIA5;0,00;1,06;0,84;0,24
C15orf59;0,11;0,95;0,84;0,83
KIAA1524;0,00;0,99;0,84;0,67
NPY1R;0,04;0,75;0,84;1,78
LANCL3;0,04;1,11;0,84;0,14
MCC;0,00;1,17;0,84;-0,88
RNF180;0,00;0,99;0,84;0,62
SPG20;0,00;1,08;0,84;0,07
SLCO4C1;0,00;1,13;0,84;-0,24
TEP1;0,00;1,04;0,84;0,08
KRT13;0,00;1,20;0,84;-0,52
RTFDC1;0,00;0,83;0,84;1,32
QSOX2;0,00;0,99;0,84;0,64
DCTPP1;0,46;1,23;0,84;-0,20
CDC20;0,00;0,79;0,84;1,83
MCM10;0,00;1,10;0,84;-0,17
NEU1;0,00;0,84;0,84;1,42
ENAM;0,00;1,13;0,84;-0,46
LALBA;0,46;0,93;0,84;0,79
RAB40C;0,02;0,63;0,84;2,34
ABCA5;0,00;1,02;0,84;0,37
EEF1D;0,00;1,10;0,84;-0,08
MRE11A;0,00;1,07;0,84;0,13
BOD1;0,25;0,84;0,84;1,09
IMPAD1;0,02;0,95;0,84;0,83
PRDM5;0,00;0,98;0,84;0,70
ERCC6-PGBD3;0,00;1,03;0,84;0,37
ACCS;0,00;1,06;0,84;0,23
NARG2;0,00;1,20;0,84;-0,91
CEP128;0,00;1,11;0,84;-0,33
CWF19L2;0,00;1,14;0,84;-0,38
ZNF350;0,00;0,89;0,84;1,24
CDC42BPG;0,00;0,93;0,84;1,34
GGN;0,00;1,03;0,84;0,39
CARS2;0,00;1,06;0,84;0,25
GUCY1A3;0,00;0,99;0,84;0,68
PLAUR;0,01;1,04;0,84;0,41
TM7SF3;0,00;0,95;0,84;0,89
VEGFA;0,00;1,02;0,84;0,47
VPS41;0,00;0,88;0,84;1,48
C1orf43;0,00;1,03;0,84;0,47
GIN1;0,00;1,04;0,84;0,39
MMP11;0,00;0,99;0,84;0,65
GDF10;0,01;1,00;0,84;0,59
MGAM;0,00;1,12;0,84;-0,76
NUP43;0,00;1,05;0,84;0,35
MGME1;0,00;1,19;0,84;-0,26
TARS2;0,00;0,83;0,84;1,77
VSTM2L;0,25;1,11;0,84;0,20
PER3;0,00;1,08;0,84;-0,11
FAM184B;0,00;0,93;0,84;1,12
ARMCX3;0,46;0,70;0,84;1,74
TARBP1;0,00;1,11;0,84;-0,43
FBXO6;0,02;1,19;0,84;-0,25
MPP2;0,00;0,86;0,84;1,51
EBI3;0,11;1,22;0,84;-0,28
PI4K2A;0,00;0,74;0,84;2,02
LAMC3;0,00;1,10;0,84;-0,43
RFTN2;0,00;1,05;0,84;0,33
MUC5AC;0,00;0,90;0,84;1,26
ZCCHC17;0,01;1,08;0,84;0,30
TMEM33;0,01;0,95;0,84;0,79
BBS9;0,00;1,03;0,84;0,40
EFCAB5;0,00;0,97;0,84;0,89
STXBP2;0,00;1,02;0,84;0,48
DERL1;0,00;0,87;0,84;1,12
C6orf132;0,00;0,85;0,84;1,85
CABLES2;0,00;0,94;0,84;0,89
FKTN;0,00;1,12;0,84;-0,05
POR;0,00;1,09;0,84;-0,07
FOXH1;0,04;1,69;0,84;-2,55
LARP7;0,00;1,15;0,84;-0,27
PIK3IP1;0,02;0,93;0,84;0,87
PUS7L;0,00;1,12;0,84;-0,20
C11orf68;0,25;0,83;0,84;1,33
ZIM2;0,00;1,13;0,84;-0,15
SLC45A3;0,01;0,84;0,84;1,58
TROAP;0,00;1,02;0,84;0,46
WISP3;0,00;1,09;0,84;0,16
PRKAB1;0,01;0,84;0,84;1,25
UFL1;0,00;1,06;0,84;0,19
B3GALNT2;0,00;0,93;0,84;0,95
JAM3;0,00;1,33;0,84;-0,87
FAM104A;0,25;1,17;0,84;-0,02
KRT6A;0,00;1,25;0,84;-0,95
ADSSL1;0,00;1,11;0,84;-0,03
MYO5C;0,00;1,01;0,84;0,48
CUTC;0,00;1,00;0,84;0,58
RP11-192H23,4;0,00;1,02;0,84;0,52
LIAS;0,00;0,86;0,84;1,25
KIAA0930;0,00;0,80;0,84;1,72
NIPAL3;0,00;0,98;0,84;0,68
FHL3;0,00;0,96;0,85;0,79
FES;0,00;0,85;0,85;1,76
CCDC40;0,00;1,09;0,85;-0,18
STRA8;0,00;0,85;0,85;1,28
TMEM19;0,01;1,04;0,85;0,42
NR2C2AP;0,24;1,28;0,85;-0,24
URB2;0,00;1,10;0,85;-0,38
C9orf84;0,00;0,92;0,85;1,32
CCDC102A;0,00;0,97;0,85;0,75
SLC9B2;0,00;1,11;0,85;-0,05
KRT14;0,00;0,96;0,85;0,84
PDXDC1;0,00;1,02;0,85;0,47
ETV4;0,00;1,01;0,85;0,56
FXYD1;0,24;1,03;0,85;0,53
ANKLE2;0,00;1,03;0,85;0,34
NUGGC;0,00;0,97;0,85;0,83
TMEM59L;0,00;0,93;0,85;0,90
VSIG8;0,00;0,95;0,85;0,86
TADA2A;0,00;0,84;0,85;1,46
BTNL3;0,00;0,98;0,85;0,68
DDX53;0,66;1,11;0,85;0,01
SPATA2L;0,04;1,16;0,85;-0,26
SMYD2;0,00;0,87;0,85;1,28
TTC6;0,00;0,99;0,85;0,73
VPS72;0,00;0,81;0,85;1,57
PRRT4;0,00;0,83;0,85;1,67
TLR6;0,00;0,95;0,85;0,94
RGS9;0,00;1,08;0,85;0,04
MTL5;0,00;0,90;0,85;1,16
LRRC37A3;0,00;1,09;0,85;-0,12
FRRS1;0,00;1,00;0,85;0,57
GTF2F2;0,00;0,81;0,85;1,29
DDB2;0,00;0,88;0,85;1,22
PTGDS;0,01;1,02;0,85;0,53
MECR;0,00;1,10;0,85;0,11
TNFRSF10B;0,00;1,24;0,85;-0,67
HOXD8;0,11;1,52;0,85;-1,42
IQGAP3;0,00;1,00;0,85;0,64
JRKL;0,00;0,79;0,85;1,74
MYO7A;0,00;0,96;0,85;1,07
PTAFR;0,24;0,83;0,85;1,45
UBE2C;0,11;1,03;0,85;0,50
OLIG1;0,66;0,73;0,85;1,42
MFAP5;0,01;1,08;0,85;0,32
CCDC12;0,04;1,05;0,85;0,42
CDHR2;0,00;1,02;0,85;0,37
CCSAP;0,10;0,76;0,85;1,46
CDC26;0,66;0,94;0,85;0,73
FKBP10;0,00;0,98;0,85;0,71
CTNNA3;0,00;1,22;0,85;-1,11
ZNF667;0,00;1,00;0,85;0,57
TMEM249;0,10;0,93;0,85;0,89
PTCH2;0,00;0,98;0,85;0,78
FTO;0,00;1,01;0,85;0,56
CD101;0,00;1,03;0,85;0,36
WDR17;0,00;1,01;0,85;0,49
L3MBTL4;0,00;1,03;0,85;0,40
CA3;0,00;1,01;0,85;0,55
GPR45;0,10;0,87;0,85;1,29
UNG;0,00;1,12;0,85;0,06
HHIPL1;0,00;0,86;0,85;1,59
CPLX3;0,24;1,03;0,85;0,51
LIPE;0,00;0,96;0,85;0,95
MTCP1;0,45;0,53;0,85;1,64
MROH8;0,00;0,98;0,85;0,73
KIAA1644;0,04;1,10;0,85;0,21
RNF149;0,00;0,89;0,85;1,14
TMEM163;0,04;0,70;0,85;1,77
TPH2;0,00;0,93;0,85;1,00
KIF22;0,00;1,07;0,85;0,14
ARHGEF25;0,00;0,95;0,85;0,93
SLC35G2;0,04;1,03;0,85;0,42
WDR25;0,00;0,99;0,85;0,64
C4orf32;0,66;1,09;0,85;0,41
HIPK4;0,00;0,91;0,85;1,21
DCAF13;0,00;1,20;0,85;-0,69
SMAD9;0,00;1,01;0,85;0,52
NUCB1;0,00;0,94;0,85;0,93
BNIP2;0,00;1,17;0,85;-0,25
CCHCR1;0,00;0,83;0,85;1,91
FAM47E;0,00;0,74;0,85;1,84
IPO4;0,00;0,94;0,85;1,10
TTC21B;0,00;1,11;0,85;-0,41
DDX56;0,00;1,13;0,85;-0,23
MICA;0,00;0,95;0,85;0,80
GPN2;0,01;1,09;0,85;0,17
CYB5R3;0,00;1,21;0,85;-0,42
AK7;0,00;1,02;0,85;0,49
SCG2;0,00;1,11;0,85;-0,08
GSTP1;0,01;1,26;0,85;-0,33
MANEAL;0,00;1,04;0,85;0,38
C14orf1;0,24;0,73;0,85;1,39
PLAU;0,00;0,99;0,85;0,66
TMEM35;0,66;0,82;0,85;1,07
CCDC104;0,00;1,15;0,85;-0,07
WDR76;0,00;1,02;0,85;0,46
DNAJB1;0,04;1,09;0,85;0,13
TNFSF11;0,00;0,92;0,85;0,93
ERO1LB;0,00;0,94;0,85;0,91
F13B;0,00;1,00;0,85;0,57
PLCB2;0,00;0,90;0,85;1,51
TCEA2;0,00;0,78;0,85;1,67
FERMT1;0,00;0,97;0,85;0,78
IFT20;0,10;1,17;0,85;0,12
MALRD1;0,00;1,03;0,85;0,30
CDH3;0,00;1,07;0,85;0,08
TRIM32;0,00;0,96;0,86;0,83
TWF1;0,00;0,93;0,86;0,92
LIMA1;0,00;0,87;0,86;1,51
ST8SIA5;0,00;0,94;0,86;0,90
SHMT2;0,00;0,84;0,86;1,52
CYGB;0,10;0,93;0,86;0,85
ZBTB39;0,00;1,10;0,86;-0,09
PUS1;0,00;1,05;0,86;0,29
SOX3;0,45;0,60;0,86;2,21
PROM2;0,00;0,96;0,86;0,92
ANKRD18A;0,00;0,99;0,86;0,68
FAM21C;0,00;1,09;0,86;-0,01
NICN1;0,04;0,95;0,86;0,77
OSTF1;0,00;1,05;0,86;0,43
CCDC82;0,00;1,09;0,86;0,08
SLC43A3;0,00;1,02;0,86;0,47
MYH6;0,00;0,98;0,86;0,86
STARD3NL;0,00;0,95;0,86;0,78
AC004381,6;0,00;0,86;0,86;1,55
OCA2;0,00;1,19;0,86;-0,83
MFSD11;0,00;0,90;0,86;1,10
ARHGAP28;0,00;0,97;0,86;0,78
LMOD2;0,00;1,06;0,86;0,27
SIRT7;0,00;0,94;0,86;0,89
SNX19;0,00;1,14;0,86;-0,58
CATSPERG;0,00;0,91;0,86;1,38
NOC3L;0,00;1,02;0,86;0,45
RAB27B;0,04;1,12;0,86;0,18
GCGR;0,00;0,82;0,86;1,66
LARS2;0,00;0,90;0,86;1,33
STK11IP;0,00;1,01;0,86;0,51
TBC1D31;0,00;0,96;0,86;0,91
ACACB;0,00;0,93;0,86;1,57
GOLT1A;0,24;1,00;0,86;0,60
CRTAP;0,00;1,21;0,86;-0,44
CDK2AP1;0,45;0,68;0,86;1,42
USH2A;0,00;1,17;0,86;-2,47
XDH;0,00;1,22;0,86;-1,45
CYP26C1;0,00;1,09;0,86;0,06
HAVCR2;0,04;0,99;0,86;0,64
TBL2;0,00;1,00;0,86;0,58
TMEM45A;0,00;0,99;0,86;0,63
ACTG1;0,00;0,45;0,86;3,16
C16orf47;0,45;1,12;0,86;0,26
ARSD;0,00;0,91;0,86;1,09
DDAH2;0,01;0,63;0,86;2,31
VAMP7;0,01;0,98;0,86;0,66
IFT122;0,00;1,03;0,86;0,35
SNAPC2;0,10;1,43;0,86;-1,46
PCYT1A;0,00;0,79;0,86;1,64
DCAF12;0,00;0,82;0,86;1,55
WDR62;0,00;0,99;0,86;0,67
SDHA;0,00;0,98;0,86;0,74
CRISPLD2;0,00;1,37;0,86;-1,60
ZMYND10;0,00;0,94;0,86;0,93
RAX;0,10;1,09;0,86;0,19
STK33;0,00;1,02;0,86;0,49
ARG2;0,00;1,05;0,86;0,34
ARHGAP18;0,00;0,98;0,86;0,72
FAM19A5;0,45;0,69;0,86;1,53
CCDC135;0,00;0,98;0,86;0,73
KCNJ13;0,01;0,72;0,86;1,93
ZNF639;0,00;0,87;0,86;1,27
GPD2;0,00;0,98;0,86;0,72
PEX10;0,00;1,18;0,86;-0,29
BCAS1;0,00;1,14;0,86;-0,25
VPS37C;0,04;1,14;0,86;-0,01
NDUFC2-KCTD14;0,66;1,08;0,86;0,39
GLB1;0,00;0,97;0,86;0,79
PAM16;0,24;1,38;0,86;-0,51
LOXL3;0,00;0,87;0,86;1,56
NEK9;0,00;0,76;0,86;2,50
PRSS54;0,10;1,02;0,86;0,49
MRPL10;0,10;1,13;0,86;0,08
SELE;0,00;1,12;0,86;-0,13
VTI1A;0,00;1,12;0,86;0,16
CD9;0,00;0,93;0,86;0,87
VIL1;0,00;0,96;0,86;0,90
ORC5;0,00;0,99;0,86;0,63
CLVS2;0,01;0,73;0,86;1,80
GPR4;0,10;0,63;0,86;2,53
NXF2;0,45;0,56;0,86;1,48
CREBZF;0,10;1,10;0,86;0,13
PARK2;0,00;1,26;0,86;-0,86
FAM117A;0,00;0,83;0,86;1,49
SPIRE2;0,00;1,12;0,86;-0,26
SNAP29;0,01;1,36;0,86;-0,87
STK36;0,00;0,94;0,86;1,12
CDS2;0,00;0,66;0,86;2,40
NSMCE2;0,04;0,94;0,86;0,82
DBP;0,23;0,73;0,86;1,60
RAD54B;0,00;0,95;0,86;0,93
KIAA1875;0,00;0,76;0,86;3,17
AP1S1;0,10;0,61;0,86;1,74
CD163L1;0,00;0,93;0,86;1,23
LRRC55;0,04;1,03;0,86;0,44
ARL9;0,44;1,21;0,86;0,07
PLA2G6;0,00;0,92;0,86;1,21
NEK1;0,00;0,94;0,86;1,07
DLAT;0,00;1,03;0,86;0,42
NLGN4Y;0,10;0,81;0,86;1,42
LRRC3B;0,44;0,62;0,86;2,10
PINLYP;0,66;1,01;0,86;0,57
SLC38A10;0,00;1,00;0,86;0,57
UBE2G2;0,10;0,62;0,86;1,80
CCDC174;0,00;1,10;0,86;0,04
FOXS1;0,23;1,03;0,86;0,43
PCOLCE;0,00;1,08;0,86;0,16
FAM134B;0,00;1,00;0,86;0,60
FZD10;0,00;1,08;0,86;0,06
FGF1;0,44;1,04;0,86;0,46
GALNT3;0,00;1,03;0,86;0,39
MDFIC;0,04;1,21;0,86;-0,29
SH2D4B;0,00;1,10;0,86;0,10
NARS2;0,00;1,25;0,86;-0,76
TRPV2;0,00;0,85;0,86;1,71
ENO1;0,00;0,95;0,86;0,84
GPSM2;0,00;0,90;0,86;1,26
SPDYE4;0,00;1,06;0,86;0,34
ADAM15;0,00;0,94;0,86;1,07
RNF212;0,00;1,12;0,86;0,07
PROC;0,00;0,95;0,86;0,88
GALT;0,00;0,93;0,86;0,91
HN1L;0,23;1,04;0,86;0,45
ABCA6;0,00;1,11;0,86;-0,49
C11orf82;0,00;1,04;0,86;0,26
FAM21B;0,00;0,73;0,86;1,87
FAM47E-STBD1;0,00;0,74;0,87;1,75
TUBA3C;0,00;0,79;0,87;1,78
FABP3;0,44;1,06;0,87;0,42
SCAMP4;0,00;1,10;0,87;0,20
